221933	   45.3	  206.9	  574.0	...
221934	   45.5	  206.6	  573.0	...
221935	   45.7	  206.1	  572.0	...
221936	   45.8	  205.8	  571.0	...
221937	   45.6	  205.7	  571.0	...
221938	   45.5	  206.1	  570.0	...
221939	   45.3	  206.4	  570.0	...
221940	   45.7	  206.1	  570.0	...
221941	   46.5	  205.6	  570.0	...
221942	   47.0	  205.4	  571.0	...
221943	   47.1	  205.6	  571.0	...
221944	   47.2	  205.9	  571.0	...
221945	   47.3	  205.6	  571.0	...
221946	   47.2	  205.3	  571.0	...
221947	   46.8	  204.9	  571.0	...
221948	   46.5	  204.9	  571.0	...
221949	   46.6	  204.6	  571.0	...
221950	   46.6	  204.2	  570.0	...
221951	   46.6	  204.4	  569.0	...
221952	   46.7	  204.8	  569.0	...
MSG	221953 TRIALID 0
MSG	221953 TRIAL_START 0
221953	   46.9	  205.2	  570.0	...
MSG	221954 FIX_POINT_DRAWN
221954	   47.0	  205.1	  571.0	...
221955	   46.7	  205.2	  571.0	...
221956	   46.3	  205.1	  572.0	...
221957	   46.0	  204.8	  572.0	...
221958	   45.7	  204.5	  574.0	...
221959	   45.5	  204.3	  575.0	...
221960	   45.4	  204.2	  576.0	...
221961	   45.3	  204.2	  577.0	...
221962	   45.2	  204.9	  577.0	...
221963	   45.1	  205.7	  576.0	...
221964	   44.6	  206.3	  574.0	...
221965	   44.3	  206.2	  573.0	...
221966	   43.8	  206.2	  571.0	...
221967	   44.0	  206.5	  571.0	...
221968	   44.4	  206.9	  572.0	...
221969	   45.0	  207.1	  573.0	...
221970	   45.0	  208.3	  574.0	...
221971	   45.1	  209.8	  576.0	...
221972	   45.5	  211.1	  576.0	...
221973	   46.3	  210.9	  577.0	...
221974	   46.8	  210.5	  577.0	...
221975	   46.4	  210.5	  576.0	...
221976	   45.6	  210.7	  574.0	...
221977	   44.5	  210.6	  575.0	...
221978	   43.7	  210.3	  576.0	...
221979	   42.3	  210.1	  577.0	...
221980	   41.0	  209.9	  577.0	...
221981	   41.1	  210.4	  577.0	...
221982	   42.4	  211.1	  577.0	...
221983	   43.7	  211.8	  577.0	...
221984	   44.1	  211.9	  577.0	...
221985	   44.7	  211.3	  577.0	...
221986	   45.2	  210.7	  575.0	...
221987	   45.1	  210.1	  574.0	...
221988	   44.7	  210.2	  574.0	...
221989	   44.4	  210.2	  576.0	...
221990	   44.4	  209.1	  577.0	...
221991	   44.5	  208.0	  577.0	...
221992	   44.6	  207.0	  577.0	...
221993	   44.6	  206.9	  578.0	...
221994	   45.1	  206.8	  578.0	...
221995	   46.0	  207.0	  578.0	...
221996	   46.8	  207.1	  578.0	...
221997	   46.9	  207.2	  578.0	...
221998	   46.6	  208.0	  577.0	...
221999	   47.1	  208.9	  578.0	...
222000	   47.8	  209.2	  578.0	...
222001	   48.6	  208.5	  578.0	...
222002	   48.6	  207.3	  577.0	...
222003	   48.6	  206.7	  575.0	...
222004	   48.5	  207.1	  575.0	...
222005	   48.5	  207.6	  575.0	...
222006	   48.4	  208.0	  576.0	...
222007	   47.5	  207.3	  575.0	...
222008	   46.6	  206.6	  575.0	...
222009	   45.4	  205.9	  574.0	...
222010	   44.9	  205.6	  574.0	...
222011	   44.4	  205.7	  575.0	...
222012	   44.2	  205.8	  576.0	...
222013	   44.0	  205.9	  577.0	...
